NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
MAPK8	179.8966	281.16755	225.7201	265.4623	213.26385	236.4865	174.397	229.065	268.8953	253.4191	240.152	267.79985	213.8643	189.9293	330.653	154.7703	277.6754	315.7895	349.9124	296.90735	201.7428	225.2192	280.986	296.4361	198.31725
MAPK9	763.13395	1255.14825	838.918	1026.5338	1232.6254	1148.3965	870.9677	1104.9793	731.9686	742.0061	1206.0555	1028.0728	774.12525	824.5798	1033.0882	809.8698	1149.9443	944.3466	1027.32355	899.11055	1155.5851	1122.6924	1139.4819	1236.1299	874.255
MAPKAP1	1524.4243	1640.5221	1590.10425	1696.3583	2098.91435	1213.7026	1697.289	1474.6544	1782.9006	1913.8626	1721.8794	1833.55575	1524.4323	1693.0233	1685.3571	1356.5371	1725.0347	1749.6014	1736.14785	1866.86025	1537.8151	1572.2812	1820.47275	1972.2641	1503.22935
MCAM	1509.8271	1847.6335	1000.5543	1329.0938	1911.20805	8911.453	2089.4391	1601.8412	1503.4415	1339.2032	1321.8502	1479.1548	1264.25655	4540.8498	6725.8979	7185.7437	1485.0822	2212.0465	1778.058	1744.95195	2816.857	3338.6651	2694.01545	2757.23415	4501.29845
MET	1533.98895	344.18585	1712.8881	3292.9818	8402.26055	6170.5004	11371.5342	3668.3347	2414.4654	461.4223	329.0807	3459.36385	1072.2724	398.5547	398.706	192.2261	276.3419	228.9879	288.53865	269.11075	186.5544	202.6144	376.0367	381.06125	273.9776
MPDZ	272.24015	686.31745	101.29365	91.4256	485.5391	771.7376	503.0471	378.4147	294.2326	334.1636	895.5861	105.5121	333.88555	813.1263	1713.5863	1230.3887	209.9567	982.0007	1294.33355	1077.3145	889.6122	933.687	1239.1424	545.91465	1131.69245
MYB	77.9126	1656.24235	172.7581	1789.8215	0.90095	8.4609	6.1538	89.1547	129.0504	213.9693	154.8694	1930.86575	226.153	28.2353	857.5458	12.2112	1440.6154	0.92	1.06225	0.9905	129.7079	121.6104	96.57565	1204.19375	38.20035
MYH9	23812.96315	26137.9993	22198.3296	29223.5434	37406.3905	27322.4274	15953.1583	26669.5906	30742.1239	19233.6236	17845.4576	28921.1608	22910.10335	22892.9088	30513.3522	32068.5512	39636.9689	22418.4446	24648.96685	27116.4399	33345.5052	40554.6688	18501.2638	35820.9044	33174.9093
MYLK	935.89485	1749.65155	555.9381	1344.5997	1013.65555	5039.3212	1074.2857	1775.5319	1804.5796	1693.3245	9665.0564	1625.5631	981.0508	11773.6434	11518.4327	27396.1095	8479.645	4724.5157	5905.96725	5156.95995	5203.1417	5188.9786	34467.3385	27833.6215	18740.1337
NCK2	1151.47865	842.0621	1232.87265	1386.871	670.36755	1479.6256	1231.3204	959.1398	1184.0259	1521.1605	911.9279	1472.0424	1361.5197	1317.1378	1091.3706	1095.0495	1453.4777	1005.5914	844.03955	989.75115	1000.904	1018.7275	956.41425	1332.1431	1290.11175
NEDD4	362.14615	452.7657	351.3123	400.5421	140.4225	751.4623	270.9138	285.5163	375.975	108.0861	267.4372	475.88705	86.7	1214.2466	2135.4309	518.7114	3025.6396	3716.2311	4659.6779	4478.2317	4535.3107	3850.1529	4341.8722	3130.89145	508.6525
NEDD9	1080.93215	957.8719	557.62695	1268.1253	1025.87405	2881.4574	923.6337	2267.5312	1584.6798	761.9964	1544.4822	1048.45725	1313.9786	2394.4328	2792.2982	1574.9117	2566.8989	3274.3575	3256.4913	2937.776	9081.5949	8447.6257	2328.6677	2784.0129	1303.69295
NEO1	706.99525	1629.2505	1048.84435	2512.6824	1641.985	1942.7131	1736.0653	1098.4375	1870.0565	3260.3864	3395.4208	2465.8668	1700.66215	1135.6033	2162.2558	1437.6238	5248.8867	1607.2241	2364.95155	2281.70165	1901.2837	1729.737	3407.1662	5306.8932	2119.1891
