NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
ARHGEF1	2349.48925	1301.6949	2378.57375	2193.6569	875.1072	1550.1297	1488.3089	2274.6411	1974.3833	1327.5832	1359.5829	2075.62365	1772.4049	1720.4944	745.4128	1005.6537	3056.8951	1692.3077	1529.0381	1862.9184	1667.7165	1578.4264	1197.55685	2490.14285	1106.1954
ASCC3	933.45535	1118.7308	1114.1395	1132.9708	552.4406	903.0714	782.1092	1044.0545	1194.1388	682.6577	842.7951	1220.7978	758.82335	1003.5615	1072.2892	553.804	761.1379	483.2536	735.17975	513.39465	731.9508	857.0495	1015.0368	750.7496	597.8931
ASPM	557.5293	499.53505	1177.8586	581.3559	22.9971	98.7654	21.2792	345.6335	750.1157	456.6647	36.2955	632.04735	364.66375	59.4752	31.1107	9.901	198.5984	6.5382	9.75645	6.60785	28.4291	27.1033	13.825	184.0504	15.31535
ATF2	233.52285	486.6371	281.4493	350.5061	310.46165	575.725	364.7111	456.1404	454.1532	589.1182	395.8888	352.3951	314.4956	353.9359	631.3537	294.3463	389.7127	635.8971	672.7342	537.52645	387.055	428.7031	565.95205	360.986	372.2898
AXIN2	102.09415	203.3388	67.4752	3362.7563	37.5489	53.5372	171.3831	331.7092	187.701	679.7037	528.0127	3851.41445	499.14475	323.2877	358.4379	1695.053	738.1487	141.8222	141.2229	133.6777	791.1122	713.1757	698.03385	743.10265	1210.43615
B4GALT1	4876.23995	5686.4456	5802.96915	3185.9311	3318.4127	3707.6233	5070.1198	6241.6798	5031.0345	4977.2824	3102.0115	3167.7745	9394.5703	3970.5426	4106.4771	2414.1914	4809.591	5163.799	5071.73365	4852.645	4518.9076	4981.0412	4176.2296	3596.28465	3295.64165
BAMBI	533.77895	1120.2353	149.83815	244.8228	289.32775	376.6068	1692.0738	228.7302	262.94	65.1313	349.3724	290.8314	453.70465	973.6308	677.3414	745.8746	123.2571	582.5653	608.5019	559.41435	243.2203	264.1267	284.017	217.52415	566.32575
BCAT1	420.2852	339.35115	158.2902	142.2482	546.4271	406.901	121.904	1122.467	811.192	2005.4512	63.5714	158.4721	2109.027	366.6414	271.4571	701.0601	177.6348	122.4187	174.7712	121.25195	1383.9721	1271.6147	66.4186	286.92015	1079.34925
BCHE	9.34215	11.1038	3.4206	5.4355	3.6882	11.2821	330.3571	29.671	71.3132	12.3555	45.2319	7.02635	3.5486	247.9304	86.8673	478.1357	151.1137	37.6607	71.4515	88.6371	263.3053	234.5828	147.40575	478.4921	669.2151
BHLHE41	1166.80955	686.483	205.98825	318.2587	152.0264	2938.5088	1277.0635	369.3564	352.0578	5704.0117	432.415	334.79605	420.08405	1008.7464	2205.9707	423.3216	735.7169	376.6005	328.7018	247.7269	854.0707	807.8176	534.1407	1158.55255	930.34945
BIRC5	690.428	319.39195	824.1008	557.1159	17.5274	53.6637	35.4459	284.367	857.1459	649.0133	47.8656	533.38315	500.2539	39.9026	19.3509	6.1452	214.282	5.694	6.78755	5.4932	19.3672	19.8464	11.49635	257.94465	20.94345
BIRC6	1493.6439	2321.44205	1524.8686	2011.1528	1448.69915	1904.7398	1518.7438	1849.9817	1989.2067	1559.8515	1855.9284	1995.3139	1424.93305	1897.2155	2948.7522	1431.8021	2223.0608	1808.8954	2445.57205	2127.5358	1676.0648	1794.7657	2201.89455	2398.92485	1367.86875
BLZF1	456.83195	746.458	560.7014	406.3248	321.97025	557.9515	380.5093	562.0623	528.7713	467.0894	407.8369	434.00165	293.72245	632.07	608.1594	330.0353	435.7895	507.6412	551.8045	453.6798	429.5213	436.2416	517.4615	450.5913	400.51905
BMP2	243.97595	23.0899	296.7674	275.5365	167.9882	427.0712	258.7776	345.8119	234.7545	19.9663	56.1965	277.4124	55.86875	747.2407	173.7968	177.7385	1244.0008	244.0291	232.8224	273.68885	1443.0747	1505.327	111.0263	1188.30665	203.3409
BMP5	3.05705	1.4154	0	10.6572	0.4525	1.86	0	99.9544	17.5171	0	1.8741	14.93525	0	51.2204	41.1061	0	130.2885	8.4652	27.35685	13.7088	252.8682	293.6951	57.12045	108.4097	0
BMP7	150.5679	80.34995	879.9325	473.8938	5.0064	1.7264	44.3125	40.8479	1658.6169	1376.9339	202.7534	689.8295	242.5515	1002.4313	143.0754	39.934	84.4185	320.5742	348.84375	395.98655	74.2297	97.5348	477.57695	151.19195	185.4938
BMPR1A	392.5817	576.1749	390.8451	461.8228	264.192	450.4801	404.2155	450.8009	464.6131	705.9263	748.2571	521.89015	696.2439	547.7941	907.8574	763.3663	569.392	537.2031	608.31005	495.982	633.364	594.5723	1093.1108	846.05475	862.7934
BST1	89.08085	74.193	21.29405	58.0605	13.93195	166.1283	117.6128	89.7781	62.9956	150.0402	23.2758	60.74595	24.0969	233.7192	174.4347	177.5578	162.5249	102.6498	163.6177	197.52385	245.7165	283.7282	34.61175	171.0937	164.84925
C13orf15	243.23535	308.3394	282.6477	181.8594	560.4149	1690.924	122.9472	745.5447	438.8489	487.6004	303.2844	271.76095	242.3816	687.4003	977.8761	1233.7217	140.1705	834.3364	478.82595	317.049	5945.7014	6062	421.76985	203.7046	433.88905
CALCRL	185.1531	511.76045	131.672	197.4334	381.54335	2277.0492	243.0035	522.0183	492.3522	191.5789	273.5376	253.85155	184.70975	0.4638	15.6348	1.0966	1.57	47.6073	52.6738	38.63665	4.8701	4.188	1.078	1.8407	0.745
CAV1	1668.61015	1195.74045	1330.5241	686.6841	2909.7434	5566.5914	661.3354	1690.7268	2020.6099	669.4678	1191.8412	768.86025	531.75005	5682.071	12934.4675	13190.8127	1767.4841	1161.5813	1024.4915	769.53385	31849.0292	27215.2284	3511.4419	5184.01475	4825.5836
